Country,COPD,HeartDisease,LungCancer
Afghanistan,9.47,83.95,1.54
Albania,1.99,33.62,1.63
Algeria,1.91,32.8,1.11
Angola,4.08,22.19,0.41
Antigua and Barbuda,1.01,11.36,0.19
Argentina,3.29,13.04,0.95
Armenia,3.34,47.91,3.62
Australia,1.1,5.91,0.69
Austria,1.59,12.05,1.17
Azerbaijan,3.23,83.51,1.43
Bahamas,0.25,7.11,0.079
Bahrain,6.62,41.94,2.73
Bangladesh,9.38,24.83,1.85
Barbados,0.87,9.17,0.34
Belarus,1.37,53.91,1.32
Belgium,1.86,8.06,1.43
Belize,1.41,11.46,0.52
Benin,4.52,26.55,0.15
Bhutan,14.26,26.64,0.89
Bolivia (Plurinational State of),5.19,22.66,0.97
Bosnia and Herzegovina,2.72,30.03,3.93
Botswana,3.94,23.41,0.19
Brazil,2.06,11.14,0.63
Brunei Darussalam,1.32,11.12,0.57
Bulgaria,2.84,42.21,1.89
Burkina Faso,3.66,32.26,0.48
Burundi,6.35,23.67,0.23
Cabo Verde,2.77,28.9,1.59
Cambodia,4.41,21.72,1.3
Cameroon,6.38,32.88,0.57
Canada,0.74,5.5,0.54
Central African Republic,8.27,33.31,0.27
Chad,5.97,29.09,0.28
Chile,1.86,7.9,1.2
China,10.99,24.4,5.79
Colombia,2.96,14.12,0.62
Comoros,2.7,18.85,0.014
Congo,4.66,27.59,0.31
Costa Rica,1.74,7.85,0.38
Cote d'Ivoire,5.19,30.37,0.45
Croatia,1.99,19.85,2.27
Cuba,2.37,17.02,1.73
Cyprus,1.7,10.03,1.12
Czechia,1.83,23.17,1.58
Democratic People's Republic of Korea,18.07,26.03,6.29
Democratic Republic of the Congo,6.97,23.14,0.42
Denmark,2.3,5.9,1.19
Djibouti,2.87,24.22,0.25
Dominican Republic,0.75,19.27,0.35
Ecuador,1.82,11.62,0.51
Egypt,5.38,75.2,1.78
El Salvador,2.93,17.75,0.44
Equatorial Guinea,4.47,20.8,0.55
Eritrea,5.16,24.79,0.32
Estonia,0.3,9.73,0.45
Eswatini,5.33,25.79,0.2
Ethiopia,3.62,16.37,0.4
Fiji,1.26,27.67,0.17
Finland,0.28,5.78,0.22
France,0.77,5.39,1.26
Gabon,3.38,21.99,0.87
Gambia,5.76,34.63,0.58
Georgia,2.04,43.14,1.58
Germany,1.54,9.44,1.17
Ghana,5.74,30.61,0.3
Greece,1.55,12.29,2.09
Grenada,0.89,18.56,0.48
Guatemala,2.32,18.14,0.33
Guinea,5.8,30.21,0.32
Guinea-Bissau,5.36,32.96,0.29
Guyana,2.17,31.55,0.25
Haiti,2.42,27.97,0.27
Honduras,6.51,26.97,0.52
Hungary,3.28,29.49,2.86
Iceland,0.66,5.81,0.33
India,20.42,37.23,1.49
Indonesia,5.24,25.13,1.09
Iran (Islamic Republic of),3.16,33.52,1.34
Iraq,1.72,56.41,1.88
Ireland,1.38,8.0,0.78
Israel,1.55,7.71,1.58
Italy,1.48,8.27,1.41
Jamaica,1.47,9.55,1.0
Japan,1.16,5.44,0.88
Jordan,1.48,21.78,2.23
Kazakhstan,6.62,37.92,2.38
Kenya,2.41,11.71,0.18
Kiribati,2.65,28.48,0.51
Kuwait,1.61,25.63,1.85
Kyrgyzstan,6.06,61.28,2.1
Lao People's Democratic Republic,6.37,28.89,2.02
Latvia,0.7,26.53,1.26
Lebanon,2.19,46.59,2.52
Lesotho,10.41,31.04,0.31
Liberia,2.86,23.44,0.39
Libya,2.6,36.0,1.69
Lithuania,0.58,29.97,1.02
Luxembourg,1.4,7.87,0.94
Madagascar,4.42,22.3,0.084
Malawi,2.8,15.6,0.16
Malaysia,3.66,28.8,1.49
Maldives,3.39,18.38,0.77
Mali,6.09,25.46,0.58
Malta,1.06,13.83,1.19
Mauritania,3.26,23.81,0.45
Mauritius,3.07,16.89,0.47
Mexico,3.0,19.06,0.51
Micronesia (Federated States of),3.62,34.07,0.87
Mongolia,3.71,70.12,3.39
Montenegro,0.99,30.97,3.01
Morocco,1.99,42.88,1.13
Mozambique,3.13,21.03,0.13
Myanmar,12.02,20.28,1.99
Namibia,3.64,17.5,0.23
Nepal,28.79,24.87,2.74
Netherlands (Kingdom of the),1.89,6.69,1.42
New Zealand,1.26,7.67,0.75
Nicaragua,3.98,24.37,0.44
Niger,6.79,30.38,0.1
Nigeria,4.91,26.47,0.28
North Macedonia,3.75,29.79,3.61
Norway,0.97,4.77,0.42
Oman,3.91,73.59,0.7
Pakistan,18.1,51.5,1.42
Panama,1.53,9.59,0.36
Papua New Guinea,7.33,18.85,0.47
Paraguay,1.98,13.28,0.72
Peru,1.24,9.24,1.19
Philippines,7.28,40.05,1.36
Poland,2.08,26.72,3.02
Portugal,0.66,5.22,0.5
Qatar,4.38,64.62,2.27
Republic of Korea,1.26,6.17,2.27
Republic of Moldova,1.23,43.16,1.05
Romania,1.72,27.98,1.72
Russian Federation,0.89,28.02,0.78
Rwanda,6.32,18.78,0.64
Saint Lucia,1.54,9.35,0.31
Saint Vincent and the Grenadines,1.28,14.77,0.23
Samoa,2.46,21.48,0.59
Sao Tome and Principe,9.26,31.4,1.96
Saudi Arabia,4.43,55.37,0.89
Senegal,4.48,25.95,0.4
Serbia,2.97,24.95,3.99
Seychelles,2.65,19.43,1.35
Sierra Leone,5.44,34.32,0.38
Singapore,0.46,11.15,1.07
Slovakia,1.28,19.68,1.91
Slovenia,1.21,11.31,1.79
Solomon Islands,3.66,33.72,0.28
Somalia,4.57,23.07,0.23
South Africa,4.06,16.51,1.63
South Sudan,2.68,13.45,0.29
Spain,0.97,5.8,0.89
Sri Lanka,5.72,22.44,0.7
Sudan,3.14,47.18,0.23
Suriname,1.66,21.08,1.02
Sweden,0.6,5.77,0.27
Switzerland,0.91,6.8,0.72
Syrian Arab Republic,2.5,62.29,2.12
Tajikistan,7.24,105.6,1.16
Thailand,2.77,10.52,2.35
Timor-Leste,5.78,25.05,1.08
Togo,5.44,34.19,0.32
Tonga,1.91,14.55,0.76
Trinidad and Tobago,0.58,13.3,0.52
Tunisia,2.27,37.2,1.67
Turkmenistan,1.38,62.02,1.1
TÃ¼rkiye,4.23,21.02,4.18
Uganda,5.08,18.95,0.43
Ukraine,1.09,53.27,1.2
United Arab Emirates,5.47,37.55,1.07
United Kingdom of Great Britain and Northern Ireland,1.53,6.97,1.0
United Republic of Tanzania,1.86,13.66,0.042
United States of America,1.57,9.91,0.65
Uruguay,1.7,9.03,0.92
Uzbekistan,2.07,90.11,1.3
Vanuatu,4.42,35.86,0.28
Venezuela (Bolivarian Republic of),2.29,19.42,1.05
Viet Nam,4.92,18.84,2.03
Yemen,6.07,68.88,0.78
Zambia,2.99,15.85,0.33
Zimbabwe,2.1,26.76,0.28
